target,baseline_id,held_out_model,coverage_status,trajectory_count,task_group_count,negative_count,positive_count,prevalence,predicted_positive_count,predicted_positive_rate,selected_config_id,selected_threshold,inner_n_splits,metric_status,pr_auc_average_precision,positive_f1,roc_auc,precision,recall,f2,balanced_accuracy,mcc,ap_lift,ap_vs_best_dummy,f1_vs_best_dummy
success,B0,GenericAgent-anthropic_claude-3.7-sonnet,full_primary_benchmark_coverage,51,51,31,20,0.39215686274509803,0,0.0,B0_most_frequent,0.5,5,ok,0.39215686274509803,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,,
success,B1,GenericAgent-anthropic_claude-3.7-sonnet,full_primary_benchmark_coverage,51,51,31,20,0.39215686274509803,51,1.0,B1_prior,0.25,5,ok,0.39215686274509803,0.5633802816901409,0.5,0.39215686274509803,1.0,0.7633587786259542,0.5,0.0,0.0,,
success,B2,GenericAgent-anthropic_claude-3.7-sonnet,full_primary_benchmark_coverage,51,51,31,20,0.39215686274509803,14,0.27450980392156865,B2_C1p0_cw_balanced,0.7,5,ok,0.5033598693597994,0.5294117647058824,0.6499999999999999,0.6428571428571429,0.45,0.4787234042553192,0.6443548387096775,0.3158583092791214,0.11120300661470134,0.11120300661470134,-0.03396851698425851
success,B3,GenericAgent-anthropic_claude-3.7-sonnet,full_primary_benchmark_coverage,51,51,31,20,0.39215686274509803,21,0.4117647058823529,B3_T1_C10p0_cw_none,0.2,5,ok,0.8877418898715603,0.7804878048780488,0.867741935483871,0.7619047619047619,0.8,0.7920792079207921,0.8193548387096774,0.6336202761732616,0.4955850271264623,0.4955850271264623,0.21710752318790794
success,B0,GenericAgent-gpt-4o-2024-11-20,full_primary_benchmark_coverage,47,47,33,14,0.2978723404255319,0,0.0,B0_most_frequent,0.5,5,ok,0.2978723404255319,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,,
success,B1,GenericAgent-gpt-4o-2024-11-20,full_primary_benchmark_coverage,47,47,33,14,0.2978723404255319,47,1.0,B1_prior,0.25,5,ok,0.2978723404255319,0.45901639344262296,0.5,0.2978723404255319,1.0,0.6796116504854369,0.5,0.0,0.0,,
success,B2,GenericAgent-gpt-4o-2024-11-20,full_primary_benchmark_coverage,47,47,33,14,0.2978723404255319,24,0.5106382978723404,B2_C10p0_cw_balanced,0.35,5,ok,0.829041465417732,0.7368421052631579,0.9134199134199135,0.5833333333333334,1.0,0.875,0.8484848484848485,0.6376250125000246,0.5311691249922001,0.5311691249922001,0.2778257118205349
success,B3,GenericAgent-gpt-4o-2024-11-20,full_primary_benchmark_coverage,47,47,33,14,0.2978723404255319,25,0.5319148936170213,B3_T1_C10p0_cw_balanced,0.25,5,ok,0.8058930159327955,0.6666666666666666,0.8614718614718614,0.52,0.9285714285714286,0.8024691358024691,0.7824675324675325,0.5177715395599456,0.5080206755072636,0.5080206755072636,0.20765027322404367
success,B0,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,partial_primary_benchmark_coverage,43,43,33,10,0.23255813953488372,0,0.0,B0_most_frequent,0.5,5,ok,0.23255813953488372,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,,
success,B1,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,partial_primary_benchmark_coverage,43,43,33,10,0.23255813953488372,43,1.0,B1_prior,0.3,5,ok,0.23255813953488372,0.37735849056603776,0.5,0.23255813953488372,1.0,0.6024096385542169,0.5,0.0,0.0,,
success,B2,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,partial_primary_benchmark_coverage,43,43,33,10,0.23255813953488372,18,0.4186046511627907,B2_C1p0_cw_balanced,0.35,5,ok,0.40688109963909563,0.5,0.6484848484848484,0.3888888888888889,0.7,0.603448275862069,0.6833333333333333,0.3139945741451476,0.17432296010421192,0.17432296010421192,0.12264150943396224
success,B3,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,partial_primary_benchmark_coverage,43,43,33,10,0.23255813953488372,17,0.3953488372093023,B3_T1_C10p0_cw_none,0.25,5,ok,0.8662004662004661,0.7407407407407407,0.9484848484848485,0.5882352941176471,1.0,0.8771929824561403,0.8939393939393939,0.6807775778600041,0.6336423266655824,0.6336423266655824,0.36338225017470294
success,B0,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,full_primary_benchmark_coverage,51,51,37,14,0.27450980392156865,0,0.0,B0_most_frequent,0.5,5,ok,0.27450980392156865,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,,
success,B1,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,full_primary_benchmark_coverage,51,51,37,14,0.27450980392156865,51,1.0,B1_prior,0.3,5,ok,0.27450980392156865,0.4307692307692308,0.5,0.27450980392156865,1.0,0.6542056074766355,0.5,0.0,0.0,,
success,B2,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,full_primary_benchmark_coverage,51,51,37,14,0.27450980392156865,12,0.23529411764705882,B2_C10p0_cw_balanced,0.55,5,ok,0.7053574926474087,0.6923076923076923,0.8822393822393823,0.75,0.6428571428571429,0.6617647058823529,0.7808880308880309,0.5910240894493847,0.43084768872584,0.43084768872584,0.2615384615384615
success,B3,GenericAgent-Qwen_Qwen2.5-VL-72B-Instruct,full_primary_benchmark_coverage,51,51,37,14,0.27450980392156865,22,0.43137254901960786,B3_T1_C10p0_cw_balanced,0.3,5,ok,0.8819858246328834,0.7777777777777778,0.9459459459459459,0.6363636363636364,1.0,0.8974358974358975,0.8918918918918919,0.7062375653924808,0.6074760207113148,0.6074760207113148,0.347008547008547
side_effect,B0,GenericAgent-anthropic_claude-3.7-sonnet,full_primary_benchmark_coverage,51,51,49,2,0.0392156862745098,0,0.0,B0_most_frequent,0.5,5,ok,0.0392156862745098,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,,
side_effect,B1,GenericAgent-anthropic_claude-3.7-sonnet,full_primary_benchmark_coverage,51,51,49,2,0.0392156862745098,51,1.0,B1_prior,0.05,5,ok,0.0392156862745098,0.07547169811320754,0.5,0.0392156862745098,1.0,0.1694915254237288,0.5,0.0,0.0,,
side_effect,B2,GenericAgent-anthropic_claude-3.7-sonnet,full_primary_benchmark_coverage,51,51,49,2,0.0392156862745098,23,0.45098039215686275,B2_C10p0_cw_none,0.05,5,ok,0.15,0.08,0.5816326530612246,0.043478260869565216,0.5,0.16129032258064516,0.5255102040816326,0.0199027933062626,0.11078431372549019,0.11078431372549019,0.004528301886792457
side_effect,B3,GenericAgent-anthropic_claude-3.7-sonnet,full_primary_benchmark_coverage,51,51,49,2,0.0392156862745098,6,0.11764705882352941,B3_T2_C10p0_cw_none,0.1,5,ok,1.0,0.5,1.0,0.3333333333333333,1.0,0.7142857142857143,0.9591836734693877,0.5532833351724881,0.9607843137254902,0.9607843137254902,0.42452830188679247
side_effect,B0,GenericAgent-gpt-4o-2024-11-20,full_primary_benchmark_coverage,50,50,48,2,0.04,0,0.0,B0_most_frequent,0.5,5,ok,0.04,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,,
side_effect,B1,GenericAgent-gpt-4o-2024-11-20,full_primary_benchmark_coverage,50,50,48,2,0.04,50,1.0,B1_prior,0.05,5,ok,0.04,0.07692307692307693,0.5,0.04,1.0,0.1724137931034483,0.5,0.0,0.0,,
side_effect,B2,GenericAgent-gpt-4o-2024-11-20,full_primary_benchmark_coverage,50,50,48,2,0.04,26,0.52,B2_C10p0_cw_none,0.05,5,ok,0.09581881533101044,0.07142857142857142,0.53125,0.038461538461538464,0.5,0.14705882352941177,0.48958333333333337,-0.008171505630757667,0.05581881533101044,0.05581881533101044,-0.005494505494505503
side_effect,B3,GenericAgent-gpt-4o-2024-11-20,full_primary_benchmark_coverage,50,50,48,2,0.04,6,0.12,B3_T2_C1p0_cw_balanced,0.45,5,ok,0.18333333333333335,0.25,0.8645833333333334,0.16666666666666666,0.5,0.35714285714285715,0.6979166666666667,0.23869648112406286,0.14333333333333334,0.14333333333333334,0.17307692307692307
side_effect,B0,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,partial_primary_benchmark_coverage,43,43,40,3,0.06976744186046512,0,0.0,B0_most_frequent,0.5,5,ok,0.06976744186046512,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,,
side_effect,B1,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,partial_primary_benchmark_coverage,43,43,40,3,0.06976744186046512,43,1.0,B1_prior,0.05,5,ok,0.06976744186046512,0.13043478260869565,0.5,0.06976744186046512,1.0,0.2727272727272727,0.5,0.0,0.0,,
side_effect,B2,GenericAgent-meta-llama_Llama-3.3-70B-Instruct,partial_primary_benchmark_coverage,43,43,40,3,0.06976744186046512,16,0.37209302325581395,B2_C1p0_cw_none,0.1,5,ok,0.1037814129919393,0.10526315789473684,0.5166666666666667,0.0625,0.3333333333333333,0.17857142857142858,0.47916666666666663,-0.02196026152894708,0.03401397113147418,0.03401397113147418,-0.025171624713958812
